,hr_min,hr_max,rhr_min,bb_max,bb_min,sleep_avg,steps,floors,moderate_activity_time,vigorous_activity_time,calories_active_avg,stress_avg,weight_avg
hr_min,1.0,0.03494696076299188,0.7288919171292852,-0.5302345301495186,-0.17604934947791911,-0.0026216194565884376,0.12354605109391707,0.09009685322464026,0.1510986492125629,0.026839336174706536,0.11476733621952297,0.1740773992738663,0.07188898604272657
hr_max,0.03494696076299188,1.0,0.06372041912982171,0.009602518743868546,-0.1552276051291033,-0.060278524859933125,0.6788860922818665,0.5863650613630863,0.6424089191431732,0.8013688697702475,0.8041199175572529,0.14763475143590502,0.13525238423580063
rhr_min,0.7288919171292852,0.06372041912982171,1.0,-0.6533498237319705,-0.2795048156534775,-0.03727968930388556,0.08641181769219423,-0.007974570200428244,0.12833333023002588,0.06305683144530022,0.20223333809884547,0.35487376438064666,0.1906526937650707
bb_max,-0.5302345301495186,0.009602518743868546,-0.6533498237319705,1.0,0.7067473982623855,0.38839787299721074,-0.03911025336070888,0.06703663094370717,-0.060247978712453215,0.044375106045533005,-0.23639496093632192,-0.5847496415387592,0.014255123987427605
bb_min,-0.17604934947791911,-0.1552276051291033,-0.2795048156534775,0.7067473982623855,1.0,0.5428460686775196,-0.050948902712038675,0.0700876995399825,-0.05318417544673006,-0.04024866376537964,-0.3125593721981713,-0.8332528165489996,0.030596377225841673
sleep_avg,-0.0026216194565884376,-0.060278524859933125,-0.03727968930388556,0.38839787299721074,0.5428460686775196,1.0,-0.01425083791320179,0.07986927064866906,-0.017397688794935955,0.08760357542330777,-0.10455226610558345,-0.3533527415947127,0.03356812723963608
steps,0.12354605109391707,0.6788860922818665,0.08641181769219423,-0.03911025336070888,-0.050948902712038675,-0.01425083791320179,1.0,0.7199227483437173,0.7476212429110789,0.6543666869506165,0.8247097262757395,0.009026544646431938,0.13079755713174793
floors,0.09009685322464026,0.5863650613630863,-0.007974570200428244,0.06703663094370717,0.0700876995399825,0.07986927064866906,0.7199227483437173,1.0,0.6568058695877698,0.518135070100074,0.5861089078319224,-0.04731723635948002,0.05644774413028885
moderate_activity_time,0.1510986492125629,0.6424089191431732,0.12833333023002588,-0.060247978712453215,-0.05318417544673006,-0.017397688794935955,0.7476212429110789,0.6568058695877698,1.0,0.48004187501815476,0.7768394304883135,0.04983094622049542,0.08635465008178345
vigorous_activity_time,0.026839336174706536,0.8013688697702475,0.06305683144530022,0.044375106045533005,-0.04024866376537964,0.08760357542330777,0.6543666869506165,0.518135070100074,0.48004187501815476,1.0,0.7950992541127593,0.02493280179008368,0.04796473417834785
calories_active_avg,0.11476733621952297,0.8041199175572529,0.20223333809884547,-0.23639496093632192,-0.3125593721981713,-0.10455226610558345,0.8247097262757395,0.5861089078319224,0.7768394304883135,0.7950992541127593,1.0,0.30233157099236707,0.03975912255070921
stress_avg,0.1740773992738663,0.14763475143590502,0.35487376438064666,-0.5847496415387592,-0.8332528165489996,-0.3533527415947127,0.009026544646431938,-0.04731723635948002,0.04983094622049542,0.02493280179008368,0.30233157099236707,1.0,-0.030472422076492228
weight_avg,0.07188898604272657,0.13525238423580063,0.1906526937650707,0.014255123987427605,0.030596377225841673,0.03356812723963608,0.13079755713174793,0.05644774413028885,0.08635465008178345,0.04796473417834785,0.03975912255070921,-0.030472422076492228,1.0
