week_end,intensity_minutes
2025-04-06,818
2025-04-13,600
2025-04-20,848
2025-04-27,686
2025-05-04,600
2025-05-11,1133
2025-05-18,1022
2025-05-25,1177
2025-06-01,788
2025-06-08,1176
2025-06-15,527
2025-06-22,1271
2025-06-29,1015
2025-07-06,996
2025-07-13,489
2025-07-20,1165
2025-07-27,804
2025-08-03,1085
2025-08-10,917
2025-08-17,896
2025-08-24,353
2025-08-31,1049
2025-09-07,888
2025-09-14,563
2025-09-21,960
2025-09-28,735
2025-10-05,998
2025-10-12,922
2025-10-19,880
2025-10-26,970
2025-11-02,517
2025-11-09,781
2025-11-16,716
2025-11-23,576
2025-11-30,570
2025-12-07,569
2025-12-14,590
2025-12-21,0
2025-12-28,186
2026-01-04,198
2026-01-11,198
2026-01-18,210
2026-01-25,122
2026-02-01,209
2026-02-08,269
2026-02-15,449
2026-02-22,201
2026-03-01,118
2026-03-08,151
2026-03-15,465
2026-03-22,452
2026-03-29,318
