year,month,average_sleep_score,count,std_dev
2023,1,78.15,26,17.93
2023,2,82.63,27,9.43
2023,3,82.42,31,6.5
2023,4,79.13,30,9.92
2023,5,79.0,31,10.54
2023,6,82.5,30,9.16
2023,7,82.97,30,6.84
2023,8,81.65,31,8.54
2023,9,83.1,29,6.05
2023,10,82.83,30,11.53
2023,11,80.33,30,9.3
2023,12,82.97,31,7.52
2024,1,81.81,31,8.47
2024,2,83.24,29,8.15
2024,3,80.55,31,9.39
2024,4,81.33,30,11.22
2024,5,84.0,31,7.84
2024,6,80.37,30,10.87
2024,7,83.17,30,7.42
2024,8,82.87,31,6.65
2024,9,75.3,30,15.52
2024,10,83.58,31,11.64
2024,11,84.72,29,4.6
2024,12,77.1,31,10.22
2025,1,79.74,31,15.41
2025,2,87.0,28,6.86
2025,3,84.61,31,6.29
2025,4,80.52,29,11.97
2025,5,78.16,31,12.57
2025,6,81.93,30,8.38
2025,7,81.55,31,8.28
2025,8,83.06,31,8.32
2025,9,81.57,30,9.7
2025,10,79.71,31,12.09
2025,11,80.83,30,9.6
2025,12,81.32,31,8.94
2026,1,79.1,31,8.27
2026,2,80.11,28,6.57
2026,3,79.32,31,7.63
2026,4,80.57,30,8.55
2026,5,77.79,29,12.22
2026,6,79.24,29,10.96
