,hr_min,hr_max,rhr_min,bb_max,bb_min,sleep_avg,steps,floors,moderate_activity_time,vigorous_activity_time,stress_avg
hr_min,1.0,0.13101151481289194,0.2111655905891244,-0.47530510047722874,-0.4940048221426475,-0.2281057034830139,-0.36447566189537106,-0.9015377240967944,0.505307142208466,0.4247953952428732,0.5724012758772197
hr_max,0.13101151481289194,1.0,0.03877949425222061,0.1836064659050819,0.1207613940451073,-0.0475018313885359,-0.6774293119050646,-0.4568668506167146,0.8189050832810599,0.9019951354305956,-0.20621803356878576
rhr_min,0.2111655905891244,0.03877949425222061,1.0,-0.4299465615279785,-0.39706208600071224,-0.4737477361782179,0.8059846348226072,0.7088664855613918,-0.6363636363636364,-0.5222329678670935,0.3467200529960068
bb_max,-0.47530510047722874,0.1836064659050819,-0.4299465615279785,1.0,0.7875501504313099,0.5151453555901105,0.06393901454801386,0.319521498849995,-0.9700008004336137,-0.9169493006161777,-0.82033381977391
bb_min,-0.4940048221426475,0.1207613940451073,-0.39706208600071224,0.7875501504313099,1.0,0.6060649531778166,-0.0431159867211671,0.5129223507591061,-0.09896928253669394,-0.1421338109037402,-0.8585962549947951
sleep_avg,-0.2281057034830139,-0.0475018313885359,-0.4737477361782179,0.5151453555901105,0.6060649531778166,1.0,-0.5256049779383303,-0.23169309366742571,0.6187445691569631,0.5227083734893171,-0.38596191286775
steps,-0.36447566189537106,-0.6774293119050646,0.8059846348226072,0.06393901454801386,-0.0431159867211671,-0.5256049779383303,1.0,0.7025448156289195,-0.9033634482563634,-0.9570912327296088,-0.42046997773114864
floors,-0.9015377240967944,-0.4568668506167146,0.7088664855613918,0.319521498849995,0.5129223507591061,-0.23169309366742571,0.7025448156289195,1.0,-0.6446583712203042,-0.6172133998483676,-0.8760458073654736
moderate_activity_time,0.505307142208466,0.8189050832810599,-0.6363636363636364,-0.9700008004336137,-0.09896928253669394,0.6187445691569631,-0.9033634482563634,-0.6446583712203042,1.0,0.9864400504156211,0.7358511797766075
vigorous_activity_time,0.4247953952428732,0.9019951354305956,-0.5222329678670935,-0.9169493006161777,-0.1421338109037402,0.5227083734893171,-0.9570912327296088,-0.6172133998483676,0.9864400504156211,1.0,0.7107350172666738
stress_avg,0.5724012758772197,-0.20621803356878576,0.3467200529960068,-0.82033381977391,-0.8585962549947951,-0.38596191286775,-0.42046997773114864,-0.8760458073654736,0.7358511797766075,0.7107350172666738,1.0
