year,month,vo2_max_95th,readings
2023,2,51,20
2023,3,51,23
2023,4,51,17
2023,5,51,19
2023,6,51,20
2023,7,51,20
2023,8,51,24
2023,9,51,20
2023,10,51,14
2023,11,50,11
2023,12,50,17
2024,1,50,17
2024,2,50,19
2024,3,50,15
2024,4,50,18
2024,5,50,22
2024,6,50,16
2024,7,50,15
2024,8,50,23
2024,9,50,17
2024,10,50,20
2024,11,51,23
2024,12,51,6
2025,1,50,6
2025,2,50,21
2025,3,52,23
2025,4,52,18
2025,5,52,22
2025,6,52,18
2025,7,52,15
2025,8,52,18
2025,9,52,15
2025,10,52,19
2025,11,52,16
2025,12,51,8
2026,3,45,5
2026,4,47,11
2026,5,48,1
2026,6,47,1
