Quarter,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Avg
Q1 2023,83.5,73.6,83.5,84.8,82.1,79.5,80.8,81.1
Q2 2023,74.9,80.9,78.8,81.9,83.7,78.0,83.2,80.2
Q3 2023,78.9,82.2,82.5,82.8,87.7,83.2,80.4,82.5
Q4 2023,82.1,86.4,82.7,78.3,82.2,84.5,78.2,82.1
Q1 2024,79.3,85.0,79.5,82.2,79.6,83.1,84.1,81.8
Q2 2024,83.6,83.7,83.8,79.2,82.6,80.1,80.5,81.9
Q3 2024,82.9,83.4,82.8,79.5,76.6,76.5,81.7,80.5
Q4 2024,82.8,81.6,85.7,79.3,79.0,81.4,82.3,81.7
Q1 2025,83.8,86.0,82.8,79.5,87.2,84.5,82.2,83.7
Q2 2025,82.8,75.2,78.9,85.9,80.7,75.5,82.3,80.2
Q3 2025,80.7,84.9,84.8,80.4,82.5,78.1,83.0,82.1
Q4 2025,76.8,85.8,83.3,77.2,78.1,83.7,79.2,80.6
Q1 2026,79.3,78.5,76.1,78.1,82.5,78.5,83.1,79.4
Q2 2026,78.2,78.5,78.3,78.2,80.0,81.8,79.9,79.3
