week_start,week_end,intensity_minutes,days
2025-06-30,2025-07-06,996,7
2025-07-07,2025-07-13,489,7
2025-07-14,2025-07-20,1165,7
2025-07-21,2025-07-27,804,7
2025-07-28,2025-08-03,1085,7
2025-08-04,2025-08-10,917,7
2025-08-11,2025-08-17,896,7
2025-08-18,2025-08-24,353,7
2025-08-25,2025-08-31,1049,7
2025-09-01,2025-09-07,888,7
2025-09-08,2025-09-14,563,7
2025-09-15,2025-09-21,960,7
2025-09-22,2025-09-28,735,7
2025-09-29,2025-10-05,998,7
2025-10-06,2025-10-12,922,7
2025-10-13,2025-10-19,880,7
2025-10-20,2025-10-26,970,7
2025-10-27,2025-11-02,517,7
2025-11-03,2025-11-09,781,7
2025-11-10,2025-11-16,716,7
2025-11-17,2025-11-23,576,7
2025-11-24,2025-11-30,570,7
2025-12-01,2025-12-07,569,7
2025-12-08,2025-12-14,590,7
2025-12-15,2025-12-21,0,7
2025-12-22,2025-12-28,186,7
2025-12-29,2026-01-04,198,7
2026-01-05,2026-01-11,198,7
2026-01-12,2026-01-18,210,7
2026-01-19,2026-01-25,122,7
2026-01-26,2026-02-01,209,7
2026-02-02,2026-02-08,269,7
2026-02-09,2026-02-15,449,7
2026-02-16,2026-02-22,201,7
2026-02-23,2026-03-01,118,7
2026-03-02,2026-03-08,151,7
2026-03-09,2026-03-15,465,7
2026-03-16,2026-03-22,452,7
2026-03-23,2026-03-29,318,7
2026-03-30,2026-04-05,788,7
2026-04-06,2026-04-12,558,7
2026-04-13,2026-04-19,450,7
2026-04-20,2026-04-26,554,7
2026-04-27,2026-05-03,493,5
2026-05-04,2026-05-10,361,7
2026-05-11,2026-05-17,187,7
2026-05-18,2026-05-24,203,7
2026-05-25,2026-05-31,418,7
2026-06-01,2026-06-07,375,7
2026-06-08,2026-06-14,960,7
2026-06-15,2026-06-21,299,7
2026-06-22,2026-06-28,657,7
2026-06-29,2026-06-30,128,2
