,hr_min,hr_max,rhr_min,bb_max,bb_min,sleep_avg,steps,floors,moderate_activity_time,vigorous_activity_time,calories_active_avg,stress_avg,weight_avg
hr_min,1.0,0.12947497773925523,0.575875790129832,-0.3966255750188371,-0.3703617830457914,-0.3687176324885952,0.12227987769013812,0.23718592258451848,0.20254673129414782,0.20611924279016242,0.24816447518646656,0.4434830688020685,-0.05801912500001494
hr_max,0.12947497773925523,1.0,0.06760018819944195,0.0830329257414072,-0.3708164492656336,-0.026325845154851573,0.6505888162803233,0.43830378701518785,0.20239652199510144,0.6148526818896771,0.6787488307357542,0.4121114720183776,0.18037442911635942
rhr_min,0.575875790129832,0.06760018819944195,1.0,-0.6788130469492721,-0.5776611432433141,-0.4906907867571441,0.09170338122259031,0.18047400259272667,0.2999903926056535,0.09129508576331134,0.18247973397503242,0.43841979289538124,-0.20882660149109514
bb_max,-0.3966255750188371,0.0830329257414072,-0.6788130469492721,1.0,0.6823787793939966,0.6732308749910692,-0.09729025028450787,-0.23085537161565722,-0.08104340763625366,-0.09451282653230705,-0.1093410393666024,-0.5308039572882309,0.3157302716608232
bb_min,-0.3703617830457914,-0.3708164492656336,-0.5776611432433141,0.6823787793939966,1.0,0.550744027296174,-0.49374102629899985,-0.3378482839215212,-0.2804372180246031,-0.49392765439018216,-0.5505027881475483,-0.7007130565566313,0.2099238380042334
sleep_avg,-0.3687176324885952,-0.026325845154851573,-0.4906907867571441,0.6732308749910692,0.550744027296174,1.0,-0.15017489740535975,-0.4095511786072003,0.03345523076299746,-0.17274185451106303,-0.1655212756518454,-0.43312467011969774,0.15541384622393759
steps,0.12227987769013812,0.6505888162803233,0.09170338122259031,-0.09729025028450787,-0.49374102629899985,-0.15017489740535975,1.0,0.6848845302441762,0.22889174531168527,0.9393606178085095,0.936820527456235,0.3620787507089955,0.02523331725178572
floors,0.23718592258451848,0.43830378701518785,0.18047400259272667,-0.23085537161565722,-0.3378482839215212,-0.4095511786072003,0.6848845302441762,1.0,0.14984099955687857,0.6710908509769694,0.6722228684504217,0.38507772849191607,-0.09333734315960296
moderate_activity_time,0.20254673129414782,0.20239652199510144,0.2999903926056535,-0.08104340763625366,-0.2804372180246031,0.03345523076299746,0.22889174531168527,0.14984099955687857,1.0,0.15333986841942734,0.4170090713117291,0.2008029999944447,-0.044764963095000304
vigorous_activity_time,0.20611924279016242,0.6148526818896771,0.09129508576331134,-0.09451282653230705,-0.49392765439018216,-0.17274185451106303,0.9393606178085095,0.6710908509769694,0.15333986841942734,1.0,0.9487254720934885,0.3854987331046276,-0.011720866369370555
calories_active_avg,0.24816447518646656,0.6787488307357542,0.18247973397503242,-0.1093410393666024,-0.5505027881475483,-0.1655212756518454,0.936820527456235,0.6722228684504217,0.4170090713117291,0.9487254720934885,1.0,0.4370757417068573,0.03226107880521519
stress_avg,0.4434830688020685,0.4121114720183776,0.43841979289538124,-0.5308039572882309,-0.7007130565566313,-0.43312467011969774,0.3620787507089955,0.38507772849191607,0.2008029999944447,0.3854987331046276,0.4370757417068573,1.0,-0.27822404522002264
weight_avg,-0.05801912500001494,0.18037442911635942,-0.20882660149109514,0.3157302716608232,0.2099238380042334,0.15541384622393759,0.02523331725178572,-0.09333734315960296,-0.044764963095000304,-0.011720866369370555,0.03226107880521519,-0.27822404522002264,1.0
