,hr_min,hr_max,rhr_min,bb_max,bb_min,sleep_avg,steps,floors,moderate_activity_time,vigorous_activity_time,calories_active_avg,stress_avg,weight_avg
hr_min,1.0,0.1161578996421894,0.5968652093689855,-0.39469149877478393,-0.3583804273293806,-0.36127677347137316,0.12035903411300958,0.22389139916098003,0.19987984377211584,0.1986283141373403,0.24007731757926898,0.42432532450954047,-0.021614938535703315
hr_max,0.1161578996421894,1.0,0.04410939036378231,0.10699065254184018,-0.3026089030921739,0.0007491582631612236,0.6515163291910938,0.4500282783720226,0.18559033267333808,0.6242367753619776,0.6794063242602557,0.3335595219528145,0.11910061423052833
rhr_min,0.5968652093689855,0.04410939036378231,1.0,-0.6774876268269915,-0.5682185368771824,-0.4837586159130325,0.0786881191072983,0.16240955042548255,0.3007366738537669,0.07384637253831026,0.16359608689823477,0.4371883663174501,-0.15125327666874716
bb_max,-0.39469149877478393,0.10699065254184018,-0.6774876268269915,1.0,0.6764919810878415,0.6699666346253595,-0.06811772067124812,-0.2015695982073851,-0.0988477636742532,-0.06313329958736959,-0.08422308330912025,-0.5320282421397677,0.2590278849586859
bb_min,-0.3583804273293806,-0.3026089030921739,-0.5682185368771824,0.6764919810878415,1.0,0.5300993592330867,-0.443813986179799,-0.2778457928185748,-0.2947856241504119,-0.43380124655386254,-0.5023099403825919,-0.7290085418629905,0.1515290916703071
sleep_avg,-0.36127677347137316,0.0007491582631612236,-0.4837586159130325,0.6699666346253595,0.5300993592330867,1.0,-0.11299065029169618,-0.3634463883764029,0.027932308558195753,-0.13903047397126256,-0.13670128547760804,-0.4271583282963715,0.12041869813340857
steps,0.12035903411300958,0.6515163291910938,0.0786881191072983,-0.06811772067124812,-0.443813986179799,-0.11299065029169618,1.0,0.6803405836403819,0.2196632041881175,0.9365334605251141,0.9355576720222636,0.32250886701172377,0.007785331733852013
floors,0.22389139916098003,0.4500282783720226,0.16240955042548255,-0.2015695982073851,-0.2778457928185748,-0.3634463883764029,0.6803405836403819,1.0,0.14668314292949394,0.6646268148887653,0.6627258153412466,0.31581128791839846,-0.11467562683029703
moderate_activity_time,0.19987984377211584,0.18559033267333808,0.3007366738537669,-0.0988477636742532,-0.2947856241504119,0.027932308558195753,0.2196632041881175,0.14668314292949394,1.0,0.1406347600524292,0.40358547983584087,0.21967287293859136,-0.030152976041780324
vigorous_activity_time,0.1986283141373403,0.6242367753619776,0.07384637253831026,-0.06313329958736959,-0.43380124655386254,-0.13903047397126256,0.9365334605251141,0.6646268148887653,0.1406347600524292,1.0,0.9488075498091679,0.32983958844847433,-0.033788812617824106
calories_active_avg,0.24007731757926898,0.6794063242602557,0.16359608689823477,-0.08422308330912025,-0.5023099403825919,-0.13670128547760804,0.9355576720222636,0.6627258153412466,0.40358547983584087,0.9488075498091679,1.0,0.39680985443049543,0.01891001760870884
stress_avg,0.42432532450954047,0.3335595219528145,0.4371883663174501,-0.5320282421397677,-0.7290085418629905,-0.4271583282963715,0.32250886701172377,0.31581128791839846,0.21967287293859136,0.32983958844847433,0.39680985443049543,1.0,-0.192793015654711
weight_avg,-0.021614938535703315,0.11910061423052833,-0.15125327666874716,0.2590278849586859,0.1515290916703071,0.12041869813340857,0.007785331733852013,-0.11467562683029703,-0.030152976041780324,-0.033788812617824106,0.01891001760870884,-0.192793015654711,1.0
