year,month,vo2_max_95th
2019,7,47.01538848876953
2019,8,45.84123611450195
2019,9,42.39986228942871
2019,10,39.80609130859375
2019,11,39.557124328613284
2019,12,40.934453582763666
2020,1,38.915646362304685
2020,2,39.21379470825195
2020,3,39.519718933105466
2020,4,39.003397369384764
2020,5,39.46936798095703
2020,6,41.64191436767578
2020,7,41.937408447265625
2020,8,41.59543800354004
2020,9,43.29874801635742
2020,10,44.2968936920166
2020,11,44.55465927124023
2020,12,45.24931335449219
2021,1,45.34143829345703
2021,2,46.11735458374024
2021,3,46.41340942382813
2021,4,47.00849914550781
2021,5,46.974199295043945
2021,6,46.899391174316406
2021,7,46.8949478149414
2021,8,46.75139846801758
2021,9,48.8521728515625
2021,10,49.670509338378906
2021,11,49.87469825744629
2021,12,49.34916687011719
2022,1,49.12310028076172
2022,2,49.226419067382814
2022,3,48.63130531311035
2022,4,48.75970611572266
2022,5,49.33468055725098
2022,6,49.04658584594726
2022,7,49.33202362060547
2022,8,50.0950424194336
2022,9,50.984429931640626
2022,10,51.90687561035156
2022,11,52.10479736328125
2022,12,51.97009468078613
2023,1,51.83868980407715
2023,2,51.138238525390626
2023,3,50.86403198242188
2023,4,51.33834457397461
2023,5,51.261790084838864
2023,6,51.246673583984375
2023,7,51.13896484375
2023,8,51.07759094238281
2023,9,50.837924575805665
2023,10,50.7036865234375
2023,11,50.73826141357422
2023,12,50.05641403198242
2024,1,49.65434608459473
2024,2,50.19601135253906
2024,3,50.217560577392575
2024,4,50.039276123046875
2024,5,49.97046012878418
2024,6,49.75265808105469
2024,7,49.5291015625
2024,8,49.90414619445801
2024,9,49.90448265075683
2024,10,50.050851821899414
2024,11,50.61834144592285
2024,12,50.902476119995114
2025,1,50.65653991699219
2025,2,50.414024353027344
2025,3,51.93464660644531
2025,4,52.54138946533203
2025,5,52.347686767578125
2025,6,52.207977294921875
2025,7,51.97429504394531
2025,8,52.399906921386716
2025,9,52.193878173828125
