sa2_name,total_persons,total_educated,percent
North Sydney - Lavender Bay,10249,4091,0.399160894
St Leonards - Naremburn,9807,3857,0.393290507
Crows Nest - Waverton,17754,6845,0.385546919
Neutral Bay - Kirribilli,17996,6849,0.380584574
Paddington - Moore Park,15461,5830,0.377077809
Darlinghurst,10914,4033,0.36952538
Balmain,15743,5616,0.356729975
Erskineville - Alexandria,14890,5289,0.355204835
Woollahra,7675,2720,0.354397394
Glebe - Forest Lodge,17734,6232,0.35141536
Cremorne - Cammeray,19283,6747,0.349893689
Newtown - Camperdown - Darlington,22909,8012,0.349731547
Surry Hills,16795,5765,0.343256922
Pyrmont - Ultimo,20239,6918,0.341815307
Potts Point - Woolloomooloo,19612,6577,0.335355905
Gordon - Killara,19662,6581,0.334706541
Mosman,29351,9538,0.324963374
Lane Cove - Greenwich,25419,8249,0.324521028
Double Bay - Bellevue Hill,25938,8335,0.321343203
Lindfield - Roseville,22165,7112,0.320866231
Chatswood (East) - Artarmon,25656,8207,0.319886186
Chatswood (West) - Lane Cove North,19218,6120,0.318451452
Pymble,16460,5233,0.317922236
Sydney - Haymarket - The Rocks,25021,7730,0.30894049
Epping - North Epping,24688,7624,0.308813999
Manly - Fairlight,22509,6931,0.307921276
Randwick,29631,9041,0.305119638
Lilyfield - Rozelle,13907,4215,0.303084777
Leichhardt - Annandale,25992,7858,0.302323792
Redfern - Chippendale,17899,5408,0.302139784
Bondi Beach - North Bondi,21066,6336,0.300769012
Macquarie Park - Marsfield,19601,5883,0.300137748
Petersham - Stanmore,19943,5983,0.300005014
Wahroonga - Warrawee,18123,5353,0.295370524
Bondi - Tamarama - Bronte,19552,5665,0.28974018
Coogee - Clovelly,25533,7377,0.288920221
Pennant Hills - Cheltenham,20261,5852,0.288830759
Willoughby - Castle Cove - Northbridge,25685,7411,0.288534164
Bondi Junction - Waverly,16966,4877,0.287457267
Newcastle - Cooks Hill,10757,3065,0.284930743
Turramurra,18777,5345,0.284656761
St Ives,19715,5588,0.283439006
Parramatta - Rosehill,24139,6836,0.283193173
Dover Heights,11114,3126,0.281266871
Rose Bay - Vaucluse - Watsons Bay,12580,3529,0.280524642
West Ryde - Meadowbank,17977,5024,0.279468209
Concord West - North Strathfield,19025,5291,0.278107753
Royal National Park,18,5,0.277777778
Northmead,18141,5033,0.277437848
Eastwood - Denistone,24317,6646,0.27330674
West Pennant Hills,13120,3585,0.273246951
Strathfield,27505,7409,0.269369206
Hornsby - Waitara,30817,8290,0.269007366
Kensington - Kingsford,28566,7658,0.268080935
Ashfield,24079,6401,0.265833299
Homebush,13251,3484,0.262923553
Hunters Hill - Woolwich,10306,2698,0.261789249
Haberfield - Summer Hill,13966,3557,0.254689961
Balgowlah - Clontarf - Seaforth,20309,5162,0.254173027
Homebush Bay - Silverwater,11865,2986,0.25166456
Drummoyne - Rodd Point,18517,4627,0.24987849
Cherrybrook,25531,6363,0.249226431
Normanhurst - Thornleigh - Westleigh,18728,4630,0.247223409
Waterloo - Beaconsfield,22565,5562,0.246487924
Burwood - Croydon,22226,5406,0.243228651
Gladesville - Huntleys Point,14122,3388,0.239909361
Dulwich Hill - Lewisham,16788,4025,0.239754587
Carlingford,25783,6101,0.236628786
North Parramatta,21234,4778,0.225016483
Blue Mountains - North,27,6,0.222222222
Freshwater - Brookvale,20530,4558,0.222016561
Castle Hill,28747,6377,0.221831843
Kogarah,10177,2244,0.2204972
Maroubra,31603,6961,0.220263899
Five Dock - Abbotsford,20234,4430,0.21893842
Merewether - The Junction,14238,3100,0.217727209
Forestville - Killarney Heights,12868,2801,0.217671744
Hurstville,21329,4569,0.214215388
South Hurstville - Blakehurst,23870,5100,0.21365731
Deua - Wadbilliga,61,13,0.213114754
Marrickville,26082,5504,0.211026762
Thirroul - Austinmer - Coalcliff,11165,2346,0.210120914
Girraween - Westmead,27166,5666,0.208569535
Oatley - Hurstville Grove,12594,2624,0.208353184
North Rocks,8016,1662,0.207335329
Baulkham Hills (West) - Bella Vista,19488,4007,0.205613711
Concord - Mortlake - Cabarita,20585,4178,0.202963323
Ryde - Putney,27561,5585,0.202641414
North Ryde - East Ryde,12517,2532,0.202284893
Baulkham Hills (East),22188,4485,0.20213629
Parklea - Kellyville Ridge,23031,4636,0.201293908
Sydenham - Tempe - St Peters,7677,1529,0.199166341
Mortdale - Penshurst,23292,4570,0.196204705
Oatlands - Dundas Valley,16494,3215,0.194919365
Glenwood,15926,3104,0.194901419
Avalon - Palm Beach,13002,2515,0.19343178
Wollongong,29714,5690,0.191492226
Manly Vale - Allambie Heights,16677,3193,0.191461294
Rockdale - Banksia,19617,3744,0.190854871
Canterbury (North) - Ashbury,9910,1888,0.190514632
Kogarah Bay - Carlton - Allawah,15637,2974,0.190189934
Newport - Bilgola,13698,2574,0.187910644
Glenhaven,6063,1138,0.18769586
Asquith - Mount Colah,18461,3454,0.187097124
Bayview - Elanora Heights,10807,2009,0.185898029
Dee Why - North Curl Curl,24127,4477,0.185559746
Kellyville,24500,4513,0.184204082
Blaxland - Warrimoo - Lapstone,19110,3492,0.182731554
Frenchs Forest - Belrose,25406,4590,0.180665984
Bangalow,5589,988,0.17677581
Hamilton - Broadmeadow,12306,2112,0.171623598
Wickham - Carrington - Tighes Hill,8070,1383,0.171375465
Terrey Hills - Duffys Forest,3699,631,0.170586645
Berowra - Brooklyn - Cowan,11828,2006,0.169597565
Figtree - Keiraville,20964,3548,0.169242511
Croydon Park - Enfield,17150,2886,0.168279883
Oyster Bay - Como - Jannali,21484,3599,0.167520015
Blackheath - Megalong Valley,5638,944,0.167435261
Arncliffe - Bardwell Valley,15654,2608,0.166602785
Katoomba - Leura,13451,2233,0.166009962
Lennox Head - Skennars Head,7639,1255,0.164288519
Queanbeyan Region,14612,2398,0.164111689
Wentworth Falls,6165,1008,0.16350365
Quakers Hill - Acacia Gardens,26738,4368,0.163363004
Narrabeen - Collaroy,23938,3907,0.163213301
Winston Hills,10774,1743,0.161778355
Byron Bay,9237,1486,0.160874743
Mascot - Eastlakes,21003,3369,0.160405656
Illawong - Alfords Point,11232,1801,0.160345442
Galston - Laughtondale,5303,850,0.16028663
Bowral,12697,2026,0.159565252
Rouse Hill - Beaumont Hills,18741,2990,0.159543247
Toongabbie - Constitution Hill,21532,3428,0.159204904
Kiama Hinterland - Gerringong,7314,1163,0.159010118
Lambton - New Lambton,17101,2714,0.158704169
Narwee - Beverly Hills,13374,2120,0.158516525
Queanbeyan - East,4951,780,0.157543931
Yass Region,10840,1706,0.157380074
Armidale,23471,3693,0.157343104
Springwood - Winmalee,22531,3545,0.157338778
Lawson - Hazelbrook - Linden,11380,1768,0.155360281
Ermington - Rydalmere,19881,3086,0.15522358
Bexley,26629,4110,0.15434301
Adamstown - Kotara,15794,2424,0.153476004
Lidcombe - Regents Park,31596,4842,0.153247246
Canterbury (South) - Campsie,28254,4290,0.151836908
Sutherland - Kirrawee,20159,3050,0.151297187
Avoca Beach - Copacabana,7289,1101,0.151049527
Warriewood - Mona Vale,22948,3466,0.151037127
Valentine - Eleebana,12590,1896,0.150595711
Cronulla - Kurnell - Bundeena,30900,4646,0.150355987
Terrigal - North Avoca,13224,1988,0.150332728
Dural - Kenthurst - Wisemans Ferry,21062,3147,0.14941601
Queanbeyan West - Jerrabomberra,13223,1971,0.149058459
Lakemba - Wiley Park,26824,3983,0.14848643
Southern Highlands,6356,940,0.147891756
Kingsgrove (South) - Bardwell Park,12722,1869,0.146910863
Albury - South,10933,1593,0.145705662
Blacktown (East) - Kings Park,16284,2365,0.145234586
Pagewood - Hillsdale - Daceyville,11182,1624,0.145233411
Gymea - Grays Point,17475,2501,0.143118741
